ts,REFERENCE_PRICE,STRATEGY1,STRATEGY2,STRATEGY3
36:59.2,103.099878,103.21576,103.238606,103.215536
37:04.8,103.086693,103.229351,103.145076,103.231715
37:10.0,103.096703,103.218173,103.188373,103.229455
37:14.9,103.113403,103.220818,103.209859,103.216477
37:20.0,103.121721,103.228661,103.236871,103.18734
37:24.8,103.070364,103.189209,103.269372,103.191536
37:29.5,103.115508,103.213771,103.205127,103.246251
37:34.7,103.065728,103.145182,103.212291,103.273941
37:39.7,103.068538,103.188771,103.186179,103.22414
37:44.4,103.078218,103.214625,103.219508,103.187758
37:49.9,103.080404,103.220628,103.212697,103.174455
37:55.0,102.980224,103.251939,103.251915,103.238989
37:59.3,103.075117,103.219138,103.194848,103.202873
38:04.7,103.103512,103.20773,103.237622,103.231545
38:09.8,103.107696,103.202518,103.210509,103.244683
38:14.8,103.106492,103.213374,103.201211,103.228532
38:19.8,103.060777,103.222788,103.22016,103.217719
38:24.9,103.107075,103.2413,103.215928,103.197039
38:29.8,103.059918,103.209266,103.203916,103.234507
38:34.9,103.028296,103.211339,103.217348,103.189255
38:39.8,103.072571,103.214459,103.277798,103.158768
38:44.8,103.076248,103.185586,103.187683,103.224442
38:49.6,103.09196,103.211117,103.259543,103.226932
38:54.8,103.076243,103.223136,103.213549,103.212511
38:59.3,103.055252,103.231483,103.226173,103.242412
39:04.7,103.03967,103.215872,103.163947,103.23091
39:09.8,103.079725,103.228872,103.215816,103.204456
39:13.9,103.090276,103.267846,103.216791,103.224396
39:19.6,103.067154,103.182619,103.216924,103.236868
39:25.0,103.110197,103.212357,103.207501,103.231008
39:29.7,103.093561,103.2412,103.21332,103.208706
39:35.0,103.090457,,103.229328,103.227134
39:39.3,103.1072,103.240759,103.247631,103.223103
39:44.6,103.098227,103.262941,103.243655,103.236243
39:49.9,103.090892,103.218442,103.221135,103.222149
39:55.0,103.107168,103.246466,103.212967,103.20587
39:59.9,103.124952,103.25505,103.183944,103.201235
40:05.0,103.089979,103.190152,103.234518,103.198941
40:09.1,103.071539,103.226044,103.261146,103.252656
40:14.8,103.154874,103.239518,103.240588,103.182573
40:19.5,103.045446,103.211033,103.265466,103.186429
40:24.4,103.079153,103.24951,103.230131,103.217595
40:30.0,103.115109,103.268564,103.224693,103.252105
40:34.8,103.102785,103.235298,103.251349,103.236339
40:39.7,103.10963,103.227497,103.236351,103.243467
40:44.9,103.103399,103.197281,103.239261,103.227859
40:49.7,103.096227,103.231413,103.234822,103.181059
40:54.9,103.097631,103.226121,103.232071,103.244239
40:59.9,103.122317,103.230795,103.233656,103.19268
41:04.5,103.082475,103.250104,103.247303,103.24197
41:09.8,103.090004,103.211137,103.244043,103.292526
41:14.8,103.03114,103.204458,103.186898,103.24126
41:19.7,103.061346,103.287468,103.241423,103.194426
41:23.9,103.107693,103.351112,103.212777,103.23477
41:29.9,103.108674,103.238994,103.297858,103.247779
41:35.0,103.116404,103.236165,103.212935,103.261055
41:39.4,103.101576,103.241767,103.222738,103.238339
41:43.8,103.152682,103.192352,103.211247,103.231271
41:49.9,103.105995,103.224623,103.225895,103.246389
41:54.5,103.129952,103.234285,103.190931,103.224114
41:59.8,103.119636,103.257072,103.15582,103.264184
42:04.8,103.04675,103.268971,103.209175,103.276701
42:09.2,103.100868,103.200802,103.264367,103.267079
42:14.8,103.120596,103.207109,103.218998,103.247242
42:19.8,103.119588,103.230982,103.233384,103.257598
42:24.7,103.102938,103.219147,103.253904,103.192422
42:29.9,103.08125,103.213067,103.242649,103.231885
42:34.7,103.109852,103.227045,103.248633,103.26752
42:39.4,103.101512,103.203973,103.23843,103.254652
42:45.0,103.133595,103.217607,103.193347,103.194383
42:50.0,103.09074,103.244583,103.266174,103.220643
42:54.9,103.072187,103.192698,103.178956,103.255263
42:59.9,103.095511,103.226997,103.230498,103.238896
43:04.3,103.149015,103.254063,103.172217,103.292344
43:10.0,103.055566,103.227594,103.241343,103.203531
43:14.5,103.106393,103.229891,103.239399,103.233795
43:19.5,103.081494,103.216926,103.242699,103.241441
43:24.9,103.146236,103.27364,103.277478,103.204458
43:29.8,103.100839,103.216939,103.230329,103.203174
43:34.9,103.103032,103.22725,103.248962,103.222996
43:39.7,103.083365,103.230093,103.223615,103.229847
43:45.0,103.077476,103.176853,103.231097,103.354308
43:49.7,103.099591,103.246464,103.286719,103.237939
43:54.2,103.143919,103.236511,103.153454,103.250618
43:59.8,103.035887,103.260783,103.250053,103.232373
44:04.4,102.961816,103.266663,103.263441,103.288405
44:09.8,103.10441,103.251218,103.256513,
44:14.6,103.077815,103.241579,103.222083,103.243331
44:20.0,103.126118,103.243331,103.23082,
44:24.6,103.097874,103.229821,103.241177,103.221756
44:29.5,103.094776,103.246834,103.241972,103.266545
44:34.8,103.089744,103.255309,103.237141,103.238794
44:39.2,103.094752,103.224998,103.263221,103.229128
44:44.4,103.114736,103.232242,103.242279,103.213547
44:49.7,103.102029,103.246019,103.184706,103.265063
44:54.4,103.135121,103.242513,103.250715,103.234193
44:59.5,103.104963,103.263369,103.206838,103.272853
45:04.8,103.078786,103.216453,103.255373,103.268021
45:09.8,103.108695,103.326312,103.238892,103.222206
45:14.8,103.120238,103.261218,103.248987,103.250849
45:19.7,103.150104,103.216988,103.246605,103.258723
45:23.7,103.121762,103.292731,103.244291,103.268795
45:29.7,103.090683,103.244751,103.235336,103.302907
45:34.6,103.114657,103.182243,103.243032,103.238705
45:39.9,103.108976,103.275788,103.257738,103.263026
45:44.8,103.127734,103.252869,103.275163,103.248064
45:50.0,103.105363,103.249774,103.23723,103.27433
45:54.7,103.106437,103.234974,103.250951,103.2712
45:59.9,103.118058,103.239952,103.198653,103.238394
46:05.0,103.12693,103.270736,103.235219,103.283877
46:09.1,103.119724,103.258835,103.235794,103.270108
46:14.6,103.160512,103.270629,,103.244578
46:20.0,103.136048,103.263121,103.256378,103.275435
46:24.6,103.121829,103.248108,103.256093,103.25165
46:29.4,103.041608,103.279417,103.252316,103.255211
46:35.0,103.156716,103.251646,103.246751,103.257679
46:39.7,103.126421,103.255269,103.244523,103.2997
46:45.0,103.122126,103.231236,103.251953,103.262655
46:49.7,103.149033,103.253805,103.249079,103.216604
46:54.7,103.070592,103.26279,103.216206,103.25306
46:59.7,103.114376,103.248011,103.262966,103.253236
47:04.9,103.139667,103.19,103.237682,103.241961
47:10.0,103.141308,103.227475,103.249434,103.261196
47:14.9,103.161251,103.260077,103.224674,103.309139
47:19.8,103.126475,103.281531,103.270995,103.26716
47:24.4,103.12632,103.277698,103.275044,103.2611
47:30.0,103.137909,103.243109,103.279612,103.267171
47:34.8,103.117164,103.235585,103.266293,103.27109
47:39.6,103.131412,103.267206,103.266298,103.239908
47:44.2,103.125127,103.265977,103.240469,103.28681
47:49.8,103.099734,103.265976,103.242507,103.301685
47:54.2,103.140237,103.25024,103.279772,103.28378
47:59.9,103.118422,103.264051,103.241577,103.236694
48:04.8,103.081667,103.266043,103.261427,103.295449
48:09.6,103.122625,103.294106,103.30492,103.273115
48:14.6,103.119237,103.268033,103.245502,103.281846
48:19.2,103.131771,103.271745,103.308374,103.270253
48:24.4,103.141893,103.285646,103.280361,103.292438
48:29.9,103.120199,103.210232,103.220997,103.220179
48:34.8,103.11981,103.267373,103.192416,103.245236
48:39.9,103.118352,103.280778,103.261131,103.282655
48:44.9,103.122621,103.235499,103.253228,103.259555
48:49.4,103.122318,103.267134,103.217901,103.274317
48:54.9,103.16053,103.268623,103.220889,103.264096
48:59.4,103.126165,103.247758,103.255945,103.281859
49:04.9,103.131845,103.256396,103.21052,103.233358
49:09.8,103.134549,103.265185,103.269919,103.280748
49:14.8,103.141485,103.249906,103.266301,103.355801
49:19.1,103.102387,103.265368,103.28918,103.34763
49:24.7,103.1132,103.228511,103.248644,103.245076
49:30.0,103.126338,103.281622,103.265161,103.286855
49:35.0,103.091094,103.253959,103.335511,103.266048
49:39.8,103.03576,103.243094,103.267771,103.297692
49:44.6,103.040821,103.242416,103.28912,103.279758
49:49.7,103.152186,103.241054,103.253338,103.284469
49:54.9,103.103892,103.255054,103.259748,103.257575
49:59.9,103.177158,103.272937,103.302488,103.215332
50:04.4,103.118353,103.264035,103.264694,103.255659
50:09.9,103.202128,103.274738,103.242678,103.282287
50:14.9,103.071698,103.254046,103.249146,103.279472
50:19.6,103.126775,103.275484,103.250509,103.314165
50:24.5,103.183005,103.269244,103.245734,103.286083
50:29.9,103.138006,103.251599,103.255054,103.229851
50:35.0,103.038762,103.268759,103.305732,103.276572
50:39.4,103.116887,103.286242,103.275019,103.280077
50:45.0,103.116841,103.244447,103.236688,103.321101
50:49.9,103.14411,103.275684,103.289987,103.255938
50:54.7,103.12095,103.185204,103.235772,103.262626
50:59.7,103.202162,103.327618,103.258221,103.284175
51:04.9,103.075579,103.247184,103.286349,103.275156
51:10.0,103.098687,103.337107,103.240611,103.269424
51:14.5,103.04971,103.26009,103.259784,103.304654
51:19.1,103.136818,103.227921,103.261519,103.244485
51:24.2,103.102273,103.254007,103.243246,103.284125
51:30.0,103.125365,103.274761,103.239457,103.270102
51:34.6,103.157032,103.264727,103.261737,103.271932
51:39.6,103.115609,103.260773,103.277555,103.288347
51:44.8,103.100099,103.249373,103.220116,103.267122
51:49.9,103.078054,103.268325,103.252018,103.268202
51:55.0,103.141966,103.258546,103.269123,103.265355
51:59.5,103.139976,103.197996,103.230928,103.246073
52:05.0,103.161347,103.245441,103.262528,103.265498
52:10.0,103.126056,103.256898,103.243672,103.283637
52:14.5,103.191472,103.255909,103.277404,103.266656
52:19.9,103.128982,103.327314,103.196191,103.269221
52:24.9,103.132037,103.27937,103.243566,103.241763
52:29.8,103.206723,103.282784,103.302744,103.272308
52:34.2,103.143606,103.277736,103.249441,103.27959
52:39.7,103.125487,103.275676,103.27686,103.355954
52:44.6,103.15228,103.31655,103.27078,103.291486
52:50.0,103.173686,103.247463,103.270364,103.271516
52:54.8,103.134881,103.297511,103.266361,103.296525
52:59.9,103.218677,103.230757,103.248997,103.271641
53:04.7,103.106053,103.261467,103.196355,103.293259
53:09.6,103.118137,103.265431,103.252034,103.253857
53:14.9,103.135683,103.286577,103.278591,103.23374
53:19.9,103.133526,103.271956,103.229275,
53:24.5,103.144409,103.272341,103.16785,103.262451
53:29.8,103.121862,103.269379,103.236846,103.239848
53:34.8,103.083029,103.260702,103.25128,103.238563
53:40.0,103.141766,103.181004,103.261599,103.260083
53:44.7,103.129701,103.298256,103.266568,103.265784
53:49.2,103.141281,103.26409,103.266858,103.233079
53:55.0,103.112966,103.259992,103.249691,103.201941
53:59.7,103.138783,103.255785,103.187806,103.307426
54:04.3,103.069018,103.264833,103.28851,103.219276
54:09.6,103.110587,103.266581,103.236345,103.15393
54:14.7,103.124507,103.291211,103.238181,103.267313
54:19.6,103.136937,103.218308,103.258767,103.262281
54:24.0,103.138367,103.351575,103.25969,103.301858
54:29.8,103.16154,103.310428,103.228429,103.300767
54:34.6,103.077099,103.296915,103.297819,103.32442
54:39.5,103.128789,103.289425,103.267432,103.269792
54:44.5,103.154923,103.296601,103.291575,103.287195
54:50.0,103.127925,103.272191,103.271654,103.243009
54:54.7,103.12513,103.264692,103.288657,103.295075
54:59.5,103.14504,103.276502,103.237119,103.269553
55:04.9,103.133458,103.296601,103.295115,103.287553
55:09.9,103.090984,103.268495,103.272142,103.282286
55:15.0,103.140157,103.279902,103.265844,103.26881
55:20.0,103.130991,103.279381,103.27193,103.282889
55:24.5,103.138143,103.253925,103.263897,103.288555
55:29.1,103.191632,103.267461,103.291746,103.273225
55:34.9,103.136802,103.255831,103.277559,103.266409
55:39.9,103.118472,103.272242,103.290016,103.272911
55:44.9,103.129143,103.237092,103.350672,103.276724
55:50.0,103.125309,103.256292,103.24127,103.255329
55:54.7,103.137978,103.310222,103.258792,103.23399
55:59.5,103.15327,103.287109,103.316365,103.282956
56:04.8,103.137337,103.248747,103.238015,103.277999
56:09.8,103.104891,103.26887,103.250338,103.300585
56:14.9,103.136818,103.266905,103.264047,103.287254
56:19.8,103.127974,103.268858,103.263613,103.270645
56:25.0,103.181051,103.268596,103.29243,103.291648
56:30.0,103.175951,103.294201,103.26871,103.264452
56:34.1,103.126212,103.28688,103.244801,103.294648
56:39.6,103.119596,103.344943,103.282209,103.29122
56:44.9,103.151273,103.251102,103.292724,103.289852
56:49.8,103.143164,103.285097,103.273245,103.311172
56:54.9,103.138947,103.296868,103.274677,103.286363
56:59.6,103.083526,103.285741,103.285944,103.263383
57:04.6,103.135981,103.274159,103.259028,103.264714
57:09.6,103.14467,103.221226,103.26317,103.278902
57:14.6,103.112554,103.280088,103.278467,103.293977
57:19.7,103.139068,103.253605,103.284812,103.296534
57:24.9,103.145267,103.33419,103.354918,103.307353
57:29.9,103.156581,103.268234,103.296155,103.309858
57:34.9,103.172545,103.296912,103.180936,103.264917
57:39.9,103.122069,103.222175,103.283827,103.280368
57:45.0,103.142734,103.281269,103.25341,103.266595
57:49.7,103.138058,103.3141,103.264206,103.279585
57:53.6,103.131486,103.280708,103.266517,103.284889
57:59.7,103.155485,103.289838,103.287879,103.284909
58:04.2,103.063616,103.360129,103.275561,103.28294
58:09.7,103.1027,103.281718,103.284353,103.221468
58:14.5,103.164491,103.282143,103.262102,103.303101
58:20.0,103.136072,103.28569,103.253828,103.301028
58:24.6,103.159225,103.248597,103.273606,103.326821
58:29.7,103.107889,103.194744,103.287958,103.294975
58:34.8,103.158854,103.269997,103.317309,103.281796
58:39.9,103.163917,103.250703,103.277619,103.292475
58:44.9,103.137805,103.176684,103.257425,103.270106
58:49.5,103.152215,103.282348,103.302737,103.313047
58:53.3,103.144268,103.307032,103.270686,103.324505
59:00.0,103.131387,103.265309,103.292453,103.278207
59:04.2,103.156543,103.315226,103.269714,103.27933
59:09.8,103.15343,103.284863,103.291259,103.293807
,,,,
59:19.8,103.148743,103.320412,103.30475,103.266713
59:24.9,103.1848,103.224401,103.301301,103.337989
59:29.8,103.151738,103.293231,,103.319317
59:33.8,103.157376,103.339129,103.323974,103.304453
59:39.9,103.122063,103.280921,103.292559,103.298336
59:44.1,103.11645,103.259969,103.339505,103.316021
59:50.0,103.180963,103.270407,103.295689,103.311478
59:54.4,103.134628,103.282676,103.31894,103.347098
59:59.7,103.181985,103.272308,103.312073,103.321181
00:04.8,103.09371,103.275431,103.303798,103.222599
00:09.5,103.093793,103.28277,103.275294,103.250461
00:15.0,103.222204,103.271883,103.259921,103.282128
00:20.0,103.147846,103.279353,103.313619,103.297244
00:24.8,103.158196,103.238611,103.304986,103.290806
00:29.6,103.187118,103.279732,103.306268,103.290566
00:35.0,103.151736,103.311545,103.281306,103.316113
00:39.0,103.180862,103.294359,103.2946,103.315452
00:44.2,103.135101,103.261101,103.279719,103.279849
00:49.8,103.140174,103.265744,103.265521,103.30022
00:53.8,103.161544,103.251548,103.321435,103.290772
00:59.8,103.166139,103.272205,103.311291,103.268465
01:04.8,103.176827,103.284872,103.284255,103.283881
01:10.0,103.159358,103.238114,103.391078,103.311987
01:15.0,103.164296,103.273569,103.309474,103.278906
01:18.8,103.16891,103.292434,103.270302,103.283476
01:24.5,103.144198,103.287059,103.283663,103.30132
01:29.9,103.146767,103.287145,103.292883,103.306245
01:35.0,103.149816,103.262885,103.29466,103.297607
01:39.7,103.17659,103.291416,103.271295,103.31192
01:44.7,103.138098,103.253624,103.31863,103.274366
01:49.8,103.162763,103.270767,103.286236,103.2939
01:55.0,103.140807,103.31001,103.283487,103.32631
01:59.2,103.128946,103.282943,103.257099,103.280649
02:04.7,103.184714,103.272762,103.258705,103.282383
02:09.3,103.159446,103.288582,103.291135,103.318962
02:14.9,103.187459,103.283487,103.289651,103.273616
02:19.9,103.138665,103.253347,103.294736,103.325754
02:24.5,103.171464,103.296348,103.288441,103.298028
02:29.8,103.154597,103.271093,103.268145,103.325362
02:35.0,103.165803,103.280445,103.309897,103.286958
02:40.0,103.035145,103.258463,103.308751,103.32318
02:44.1,103.147736,103.305216,103.291545,103.24674
02:49.9,103.155944,103.282066,103.298832,103.292046
02:55.0,103.14323,103.295194,103.264876,103.272742
02:59.6,103.175476,103.268225,103.280634,103.326236
03:04.9,103.052205,103.25056,103.339399,
03:09.7,103.119628,103.290445,103.275987,103.214331
03:14.9,103.160313,103.275913,103.229825,103.295405
03:19.5,103.159013,103.320878,103.319183,103.303992
03:23.2,103.13906,103.230607,103.283246,103.305323
03:29.4,103.142494,103.273308,103.281011,103.270545
03:34.4,103.059499,103.306362,103.27014,103.279692
03:39.9,103.149048,103.311378,103.304504,103.266754
03:45.0,103.152322,103.301141,103.297838,103.287388
03:50.0,103.145761,103.29724,103.282454,103.281938
03:54.6,103.178113,103.284471,103.269494,103.280086
03:59.2,103.159782,103.263122,103.321743,103.345632
04:04.9,103.150766,103.180248,103.290268,103.280198
04:09.7,103.161961,103.294185,103.292597,103.284895
04:14.3,103.143404,103.283622,103.279907,103.30147
04:20.0,103.140724,103.294703,103.305237,103.248328
04:24.7,103.152646,103.296418,103.30926,103.287813
04:29.4,103.148676,103.297462,103.249423,103.299994
04:34.2,103.220338,103.267767,103.310553,103.333818
04:39.8,103.181028,103.286232,103.339109,103.283701
04:44.7,103.146014,103.312886,103.278192,103.305101
04:50.0,103.146766,103.283968,103.291376,103.273675
04:54.8,103.14993,103.29123,103.303601,103.258905
04:59.9,103.184317,103.275799,103.277721,103.304304
05:04.7,103.180829,103.280926,103.328275,103.270988
05:08.8,103.147906,103.233286,103.270929,103.263497
05:14.5,103.133457,103.298424,103.288285,103.214327
05:19.9,103.191764,103.319858,103.297603,103.287012
05:24.1,103.137549,103.284515,103.238315,103.258514
05:29.4,103.148971,103.354906,103.279528,103.278403
05:34.1,103.127419,103.296831,103.258683,103.26007
05:39.9,103.103243,103.267988,103.272503,103.269045
05:44.9,103.140085,103.292926,103.278125,103.282869
05:49.2,103.14348,103.361753,103.300173,103.287268
05:54.2,103.159125,103.271954,103.30512,103.289608
06:00.0,103.190016,103.262459,103.278361,103.252153
06:05.0,103.15948,103.287716,103.240962,103.295534
06:09.9,103.171275,103.298546,103.209801,103.30787
06:14.9,103.137311,103.298971,103.262836,
06:19.2,103.128179,103.269694,103.288758,103.276754
06:24.7,103.1352,103.313447,103.324033,103.300753
06:29.9,103.162632,103.253506,103.347532,103.26636
06:34.3,103.183729,103.24846,103.266728,103.271849
06:39.8,103.134615,103.315637,103.287759,103.383072
06:44.9,103.116122,103.292794,103.276344,103.360829
06:50.0,103.164633,103.309442,103.289697,103.281297
06:54.9,103.133764,103.254991,103.275686,103.301315
07:00.0,103.151288,103.265694,103.272999,103.31231
07:04.8,103.182876,103.232102,103.269735,103.296795
07:09.3,103.159926,103.276812,103.291056,103.245473
07:14.7,103.13129,103.266637,103.294902,103.262951
07:19.3,103.099842,103.271993,103.287726,103.245243
07:24.9,103.118023,103.304759,103.294951,
07:30.0,103.088423,103.282759,103.293587,103.295624
07:34.8,103.158932,103.31637,103.263178,103.325695
07:39.6,103.14177,103.28241,103.306541,103.291838
07:45.0,103.13631,103.295125,103.28369,103.272085
07:49.1,103.199131,103.278453,103.286261,103.298952
07:53.9,103.14209,103.288683,103.259227,103.269553
07:59.4,103.118129,103.310476,103.245432,103.255898
08:04.7,103.111353,103.280952,103.257591,103.279922
08:09.7,103.116233,103.294885,103.284297,103.284663
08:14.8,103.15444,103.254879,103.257384,103.275654
08:19.6,103.143394,103.278468,103.261841,103.337267
08:24.5,103.136254,103.278873,103.294578,103.296206
08:30.0,103.108321,103.223055,103.254046,103.269051
08:35.0,103.100034,103.27506,103.245548,103.272097
08:39.6,103.068975,103.2958,103.26989,103.278802
08:44.5,103.130575,103.278309,103.259795,103.279263
08:50.0,103.142969,103.279591,103.258581,103.292275
08:55.0,103.200804,103.285492,103.275996,103.271891
09:00.0,103.114769,103.266295,103.250367,103.341314
09:04.7,103.123188,103.332751,103.260112,103.266881
09:10.0,103.144599,103.256436,103.216957,103.295667
09:14.7,103.135027,103.276442,103.222365,103.247273
09:19.9,103.131484,103.269102,103.264205,103.258922
09:25.0,103.147704,103.26568,103.270544,103.228105
09:29.5,103.129632,103.299602,103.228408,103.212841
09:34.8,103.137059,103.280149,103.269183,103.286357
09:39.8,103.110954,103.288716,103.31954,103.27193
09:44.9,103.166642,103.240536,103.215526,103.296464
09:49.6,103.151886,103.238785,103.279494,103.272636
09:54.9,103.156578,103.289716,103.272136,103.280463
09:59.5,103.129427,103.292649,103.250667,103.260588
10:04.9,103.108678,103.299705,103.260268,103.279476
10:09.9,103.080828,103.291745,103.299157,103.336948
10:14.7,103.061062,103.235771,103.229866,103.261508
10:19.7,103.125154,103.28754,103.276762,103.320308
10:24.7,103.137147,103.285796,103.287405,103.225643
10:29.2,103.017883,103.332963,103.283707,103.253502
10:34.1,103.14699,103.263177,103.295551,103.243999
10:39.8,103.121093,103.252029,103.28579,103.268361
10:44.6,103.200825,103.336595,103.287045,103.271122
10:49.7,103.095053,103.277145,103.242586,103.272431
10:54.8,103.15942,103.274946,103.284071,103.276496
10:59.8,103.149636,103.287695,103.261306,103.191977
11:04.6,103.122774,103.307378,103.284367,103.271249
11:09.9,103.135861,103.254448,103.245988,103.288124
11:15.0,103.115288,103.279409,103.263971,103.273724
11:19.4,103.119391,103.248201,103.224191,103.266014
11:24.8,103.218366,103.241163,103.23326,103.245864
11:29.9,103.168808,103.218716,103.263252,103.291492
11:34.8,103.099389,103.273993,103.262929,103.27128
11:39.9,103.037712,103.280789,103.268232,103.259181
11:44.9,103.107141,103.243921,,103.290441
11:49.4,103.111509,103.230597,103.314969,103.253034
11:54.4,103.144669,103.235706,103.275797,103.248195
12:00.0,103.091682,103.264952,103.287627,103.256789
12:04.9,103.11226,103.251114,103.257755,103.25136
,,,,
12:13.8,103.123847,103.228458,103.24241,103.212113
12:19.5,103.120766,103.255046,103.30282,103.256672
12:24.7,103.106067,103.242781,103.349465,103.228809
12:29.9,103.115306,103.260015,103.225982,103.212871
12:34.6,103.107339,103.260652,103.245545,103.289482
12:39.8,103.083644,103.27158,103.233212,103.255782
12:44.5,103.126163,103.24567,103.251783,103.257933
12:49.8,103.115409,103.20626,103.260148,103.188043
12:54.7,103.13542,103.260434,103.256459,103.233965
12:59.8,103.133445,103.234884,103.250843,103.243831
13:04.3,103.108274,103.312506,103.262675,103.288048
13:09.0,103.095524,103.298308,103.246461,103.255401
13:15.0,103.155989,103.213248,103.274722,103.251904
13:20.0,103.111222,103.260575,103.24808,103.254021
13:25.0,103.111218,103.155875,103.239532,103.236824
13:30.0,103.03874,103.233765,103.248727,103.238779
13:34.9,103.115082,103.19232,103.262086,103.209793
13:40.0,103.105034,103.291339,103.220816,103.258806
13:44.2,103.107933,103.224021,103.228631,103.211201
13:49.2,103.082674,103.213263,103.25347,103.285358
13:54.8,103.053848,103.241156,103.248341,103.224498
13:58.6,103.095697,103.143886,103.320465,103.238312
14:04.3,103.078563,103.245087,103.20563,103.233501
14:09.9,103.148011,103.246557,103.249474,103.249435
14:14.9,103.138025,103.275839,103.247098,103.246443
14:20.0,103.107557,103.252123,103.239079,103.273338
14:24.9,103.081198,103.243177,103.235564,103.30449
14:29.8,103.094478,103.266623,103.224846,103.238135
14:34.7,103.10022,103.213731,103.18604,103.28455
14:40.0,103.164549,103.209185,103.209551,103.217307
14:44.9,103.108255,103.225093,103.208051,103.244065
14:48.5,103.081218,103.223773,103.216059,103.24444
14:54.8,103.081022,103.30029,103.236687,103.262709
